Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2005","2005","tonnes","2890775","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2006","2006","tonnes","2239724","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2007","2007","tonnes","2521652","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2008","2008","tonnes","2806543","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2009","2009","tonnes","1925767","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2010","2010","tonnes","2451724","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2011","2011","tonnes","3263637","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2012","2012","tonnes","3653983","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2013","2013","tonnes","2895196","*","Unofficial figure"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2014","2014","tonnes","2928526","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2015","2015","tonnes","2609972","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2016","2016","tonnes","2764223","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2017","2017","tonnes","3721469","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2018","2018","tonnes","2805181","","Official data"
"TM","Detailed trade matrix","231","United States of America","138","Mexico","5910","Export Quantity","15","Wheat","2019","2019","tonnes","3563373","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","1986","1986","tonnes","925588","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","1987","1987","tonnes","52","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","1992","1992","tonnes","285572","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","1993","1993","tonnes","1018589","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","1994","1994","tonnes","433751","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","1995","1995","tonnes","595832","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","1996","1996","tonnes","743672","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","1997","1997","tonnes","634973","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","1998","1998","tonnes","1036830","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","1999","1999","tonnes","1220410","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2000","2000","tonnes","1248749","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2001","2001","tonnes","1659007","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2002","2002","tonnes","1895269","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2003","2003","tonnes","1787325","","Official data"
"TM","Detailed trade matrix","231","United States of America","159","Nigeria","5910","Export Quantity","15","Wheat","2004","2004","tonnes","2367629","*","Unofficial figure"
